domain,category
\.[vV][cC]$,investor
10d.vc,investor
2b-angels.com,investor
500.co,investor
83north.com,investor
8vc.com,investor
a16z.com,investor
abbvie.com,investor
abrams.capital,investor
accel.com,investor
accessvp.com,investor
admcap.com,investor
albrightvc.com,investor
aleph.vc,investor
allencompany.com,investor
alleypoint.com,investor
amadeuscapital.com,investor
argentinavc.com,investor
ascendventures.com,investor
augmentum.vc,investor
auscap.net,investor
baincapitalventures.com,investor
balderton.com,investor
barclaystechstars.com,investor
battery.com,investor
beaconcap.vc,investor
benchmark.com,investor
beringea.com,investor
bessemer.com,investor
bluerunventures.com,investor
brockstreet.com,investor
bvp.com,investor
canaan.com,investor
capricornllc.com,investor
cbsventures.com,investor
cendana.vc,investor
cervin.com,investor
charlesriverventures.com,investor
coatue.com,investor
cortepartners.com,investor
costanoavc.com,investor
cotap.com,investor
coventure.vc,investor
crescententerprises.com,investor
crv.com,investor
cyberstarts.com,investor
dcm.com,investor
dcn.vc,investor
dfj.com,investor
elevata.vc,investor
emcap.com,investor
eqtventures.com,investor
eranova.com,investor
fabvc.com,investor
fca.com,investor
felicis.com,investor
ffcap.com,investor
fieldhouseventures.com,investor
finistere.com,investor
firstmark.com,investor
firstmarkcap.com,investor
fjlabs.com,investor
floodgate.com,investor
flybridge.com,investor
forerunnerventures.com,investor
forgepointcap.com,investor
fortress.com,investor
foundationcapital.com,investor
foundercollective.com,investor
foundersfund.com,investor
foundrygroup.com,investor
fresh.fund,investor
frontline.vc,investor
gcvp.com,investor
generalcatalyst.com,investor
ggvc.com,investor
ggvcap.com,investor
gic.com.sg,investor
glilotcapital.com,investor
goodwatercap.com,investor
gradient.com,investor
greatoaksvc.com,investor
greensoil-investments.com,investor
greenspringassociates.com,investor
greycroft.com,investor
greylock.com,investor
grotech.com,investor
halman-aldubi.com,investor
hcp.com,investor
hdvp.com,investor
horizongvc.com,investor
horizonventures.com,investor
hpevc.com,investor
illuminaventures.com,investor
impactfirst.com,investor
indexventures.com,investor
insightpartners.com,investor
intelcapital.com,investor
iqt.org,investor
israel-innovation-authority.org,investor
ivp.com,investor
jerusalemvp.com,investor
jumpcap.com,investor
jvpvc.com,investor
kaporcapital.com,investor
kardanvc.com,investor
khoslaventures.com,investor
kleinerperkins.com,investor
labrador.com,investor
lcatterton.com,investor
lererhippeau.com,investor
leumi-partners.com,investor
lool.vc,investor
lsvp.com,investor
luxcapital.com,investor
lvpvc.com,investor
m12.vc,investor
m12.vc/emea,investor
m13.com,investor
m2mi.com,investor
maayanventures.com,investor
madrona.com,investor
maislos.com ,investor
maniv.com,investor
matrixpartners.com,investor
maveron.com,investor
maxfieldcap.com,investor
mayfield.com,investor
mdv.com,investor
menlovc.com,investor
menloventures.com,investor
merlin.vc,investor
milestonevp.com,investor
mistralvp.com,investor
mithril.com,investor
mivtachshel.com,investor
morganstanley.com/expansioncapital/,investor
nea.com,investor
newion.com,investor
next47.com,investor
northbridge.com,investor
northzone.com,investor
nvp.com,investor
oatv.com,investor
octopusventures.com,investor
openviewpartners.com,investor
panteracapital.com,investor
perigon.vc,investor
pitango.com,investor
plenusvc.com,investor
poalimcapitalmarkets.co.il,investor
polarispartners.com,investor
psilosgroup.com,investor
qninvest.com,investor
qumra.capital,investor
qumranet.com,investor
reachcapital.com,investor
redalpinetech.com,investor
redpoint.com,investor
revolution.com,investor
robocap.vc,investor
rothenbergventures.com,investor
rre.com,investor
sabratec.co.il,investor
saifpartners.com,investor
sapphireventures.com,investor
sbiag.co.jp/en/,investor
scalevp.com,investor
selahvc.com,investor
sequoiacap.com,investor
shastaventures.com,investor
sierraventures.com,investor
sigmapartners.com,investor
silvertechventures.com,investor
socialcapital.com,investor
sofinnova.com,investor
sompovc.com,investor
sosv.com,investor
sparkcapital.com,investor
spectrumequity.com,investor
squarepegcap.com,investor
stagevp.com,investor
starv.org,investor
stormventures.com,investor
sungyitech.com,investor
suroofund.com,investor
sutterhillventures.com,investor
svangel.com,investor
swiftventures.com,investor
tcvc.com,investor
team8.vc,investor
technologycrossover.com,investor
techstars.com/ventures/,investor
temasek.com.sg,investor
tempoventure.com,investor
theventure.reality/,investor
thomabravo.com,investor
thrivecap.com,investor
tigerglobal.com,investor
tlvpartners.vc,investor
tribecavp.com,investor
trinityventures.com,investor
troweprice.com,investor
trueventures.com,investor
unboundvc.com,investor
upfront.com,investor
upwestlabs.com,investor
usv.com,investor
usvp.com,investor
vc.law.utoronto.ca,investor
venrex.com,investor
venrock.com,investor
vertexventures.com,investor
vintage-ip.com,investor
viola-group.com,investor
virtusventures.co.il,investor
vitalityventures.co.il,investor
https://www.ylventures.com/,investor
xseedcap.com,investor
ycombinator.com,investor
cyversecapital.com,investor
munichreventures.com,investor
operatorpartners.com,investor